well_id,fold,rows,prediction_sse,prediction_rmse,baseline_sse,baseline_rmse,prediction_wins
4c3df468,3,5392,1233815.8040579448,15.126909988398047,2317257.023399705,20.730613836474724,True
4caa7289,2,5396,269889.47818410426,7.072240261564321,505602.8234999849,9.679853283039389,True
4cd1ac61,1,4489,1374317.4043638369,17.497206627861715,975920.150500125,14.744577751415134,False
4cecf7b3,4,6019,420813.6868833271,8.361472325630752,465784.581499991,8.796914734080126,True
4ddde4c1,0,4472,2203598.0361085734,22.198073798108748,94006.52029998411,4.584881244279585,False
4e050c92,3,3705,223393.59984406055,7.764996371465298,169343.84959999376,6.760683545123174,False
4ed93db6,4,4657,244580.37169568712,7.246990322493274,388559.21620003687,9.134304566059011,True
4f3eb9e9,4,4697,3805604.263476841,28.46436713875666,5139530.137700206,33.07892812639342,True
4f4ac5ce,2,5162,171994.0662373957,5.772284550679825,351390.76149999705,8.250612102027123,True
4f4afcc6,3,5645,1060317.1747575959,13.705217271929241,391155.45209999883,8.324204115356522,False
4f69febf,3,5460,1057310.1510650811,13.915694298672898,1218894.9087000324,14.941245790403045,True
4fbe9c06,2,6287,1838717.7237171081,17.101562857176596,1014129.5012000403,12.700621635010842,False
504c8b08,0,6367,3403736.7765173633,23.121210021053336,2716814.3645998687,20.6567768266876,False
511e1db0,4,3821,82827.95352457801,4.655860364107252,26765.287499998773,2.646655635093415,False
512943b2,2,5029,178676.16220041292,5.960634470673678,81796.26750001505,4.032978673574936,False
5138a660,3,3559,915714.7300283799,16.040433684675243,106800.61979998698,5.4780109058052355,False
516088b7,4,6645,333725.8207058421,7.086754893062688,269769.2405999982,6.371603205164532,False
521a7819,2,5200,2307269.3042252543,21.064321385412196,3344764.917400171,25.361861575542044,True
5254b6db,2,3274,415405.139455101,11.264102536034697,174179.10290002928,7.293881229520888,False
529e88ca,1,3417,573186.8197616942,12.951665167090958,796295.3141000678,15.265625031718603,True
52f1e77a,1,4442,286877.579708806,8.03635340632308,892518.8349000146,14.174880875648114,True
5305524b,0,4898,849538.7231387517,13.169891568414517,1355374.6622998943,16.63490369332069,True
53134831,2,5126,2030584.8044184232,19.903124745694804,1541966.1562002338,17.343954276390388,False
5397ceb1,0,5255,159601.57835903985,5.511023091974302,449719.9785000096,9.25091584943266,True
53f23031,0,8550,866378.1837373454,10.066319174537737,973040.3093000798,10.66798407051043,True
543198e8,0,6503,3405178.359981711,22.883004994399027,2736874.8672999833,20.51495618405221,False
54753541,1,4026,796216.8409948531,14.063026474064772,1059556.7913,16.22277834812335,True
54a7e3c2,3,6155,395893.1457111916,8.020010976928615,749877.1871999286,11.037762426443331,True
5542c301,0,3591,103079.92689714092,5.357711798545558,108671.76400000186,5.501114137426537,True
5567d551,4,6889,1414127.3436236666,14.327359806404,729363.5754000475,10.289492216812466,False
55efee7f,4,4801,1077422.0665828027,14.980526598482465,3204452.8491000747,25.83515609352923,True
5663b2b7,1,4972,1346381.5362923532,16.45578155663391,1318433.7884000535,16.28409405856329,False
5693dde2,1,3488,643581.0492983687,13.583553125373841,168859.2025999753,6.95783505375875,False
56b00794,1,6065,2167356.657815681,18.903829409249205,5438405.054000201,29.944728017238926,True
57796579,4,5890,1187150.3845031562,14.196955510110387,966990.6111000874,12.813078334954168,False
577eec7c,4,4539,955972.6320633122,14.512513551564334,1617138.951700143,18.875287599886814,True
57f05c51,0,4771,1346694.9801505385,16.80079808261045,6295172.4827998215,36.3244551404309,True
58850d2c,4,4995,3499471.644512848,26.468753726354326,1107147.8569999994,14.887955622671049,False
58fa8486,2,4475,799923.7428157309,13.36988814497346,630056.9998999566,11.865701003853058,False
591cc951,4,4609,221935.63784961792,6.939212207121253,1040068.451400069,15.021994805073081,True
593876b6,4,4842,210350.13439766676,6.591116748416544,729974.0319999699,12.278386863654298,True
59f8b2e8,4,3747,399089.36958349927,10.32032165778903,145683.50130002433,6.235385931133263,False
5a1a8fd8,0,5260,676666.375746502,11.342124918657774,911687.6829999855,13.165282167987698,True
5a5269a9,0,6513,364138.07959191734,7.477260471978324,223890.89289999526,5.863105043604518,False
5a5d1982,3,3894,236990.9640014096,7.801316905171039,196664.58509999356,7.106652935637849,False
5a63b5d1,1,6217,1265626.7528015622,14.26797663576309,2351724.1785002938,19.44924550712061,True
